溪開三魚平 kio 虛
莊開三魚平 dro 菹
常開三魚平 zho 蜍
孃開三魚平 nyo 袽
疑三虞平 qiu 虞
初三虞平 tru 芻
明三虞平 miu 無
云三虞平 hiu 于
曉三虞平 xiu 訏
羣三虞平 giu 衢
日三虞平 ru 儒
心三虞平 siu 須
知三虞平 dyu 株
徹三虞平 tyu 貙
常三虞平 zhu 殊
以三虞平 yu 逾
溪三虞平 kiu 區
章三虞平 ju 朱
清三虞平 tsiu 趨
來三虞平 liu 慺
並三虞平 bhiu 扶
崇三虞平 jru 䅳
莊三虞平 dru 㑳
滂三虞平 piu 敷
精三虞平 ziu 諏
幫三虞平 biu 跗
影三虞平 iu 紆
書三虞平 shu 輸
昌三虞平 chu 樞
澄三虞平 dhyu 廚
見三虞平 ciu 拘
生三虞平 sru 毹
明一模平 mu 模
並一模平 bhu 酺
匣一模平 hu 胡
見一模平 cu 孤
定一模平 dhu 徒
泥一模平 nu 奴
曉一模平 xu 呼
疑一模平 qu 吾
精一模平 zu 租
來一模平 lu 盧
心一模平 su 蘇
從一模平 dzu 徂
影一模平 u 烏
幫一模平 bu 逋
溪一模平 ku 枯
清一模平 tsu 麤
透一模平 tu 㻌
端一模平 du 都
滂一模平 pu 𥠵
從開四齊平 dzei 齊
來開四齊平 lei 黎
清開四齊平 tsei 妻
端開四齊平 dei 低
定開四齊平 dhei 嗁
幫四齊平 bei 豍
見開四齊平 cei 雞
匣開四齊平 hei 奚
影開四齊平 ei 鷖
疑開四齊平 qei 倪
曉開四齊平 xei 醯
心開四齊平 sei 西
透開四齊平 tei 梯
並四齊平 bhei 鼙
滂四齊平 pei 磇
精開四齊平 zei 齎
明四齊平 mei 迷
泥開四齊平 nei 泥
溪開四齊平 kei 谿
見合四齊平 cuei 圭
溪合四齊平 kuei 睽
匣合四齊平 huei 攜
日開四齊平 rei 臡
常開四齊平 zhei 栘
影合四齊平 uei 烓
曉合四齊平 xuei 睳
見開二佳平 cae 佳
匣開二佳平 hae 㥟
並二佳平 bhae 牌
見合二佳平 coe 媧
影合二佳平 oe 蛙
溪合二佳平 koe 咼
崇開二佳平 jrae 柴
初開二佳平 trae 釵
曉合二佳平 xoe 竵
孃開二佳平 nyae 䍲
疑開二佳平 qae 崖
影開二佳平 ae 娃
生開二佳平 srae 崽
曉開二佳平 xae 㗨
徹開二佳平 tyae 扠
明二佳平 mae 䁲
匣合二佳平 hoe 鼃
見開二皆平 caei 皆
影開二皆平 aei 𢰇
匣開二皆平 haei 諧
並二皆平 bhaei 排
見合二皆平 coei 乖
匣合二皆平 hoei 懷
溪合二皆平 koei 匯
崇開二皆平 jraei 豺
初開二皆平 traei 差
曉合二皆平 xoei 虺
澄合二皆平 dhyoei 尵
明二皆平 maei 埋
莊開二皆平 draei 齋
影合二皆平 oei 崴
知開二皆平 dyaei 𪘨
來開二皆平 laei 唻
溪開二皆平 kaei 揩
孃開二皆平 nyaei 搱
生開二皆平 sraei 崽
疑開二皆平 qaei 𩂢
徹開二皆平 tyaei 搋
曉開二皆平 xaei 俙
來合二皆平 loei 䐯
崇合二皆平 jroei 膗
曉合一灰平 xuoi 灰
溪合一灰平 kuoi 恢
影合一灰平 uoi 隈
匣合一灰平 huoi 回
明一灰平 muoi 枚
見合一灰平 cuoi 傀
來合一灰平 luoi 雷
定合一灰平 dhuoi 穨
清合一灰平 tsuoi 崔
端合一灰平 duoi 磓
心合一灰平 suoi 𤗯
從合一灰平 dzuoi 摧
並一灰平 bhuoi 裴
幫一灰平 buoi 桮
滂一灰平 puoi 肧
疑合一灰平 quoi 鮠
透合一灰平 tuoi 𨌴
泥合一灰平 nuoi 𢆃
精合一灰平 zuoi 嗺
曉開一咍平 xoi 咍
溪開一咍平 koi 開
影開一咍平 oi 哀
定開一咍平 dhoi 臺
見開一咍平 coi 該
從開一咍平 dzoi 裁
來開一咍平 loi 來
精開一咍平 zoi 烖
清開一咍平 tsoi 猜
透開一咍平 toi 胎
匣開一咍平 hoi 孩
心開一咍平 soi 鰓
疑開一咍平 qoi 皚
泥開一咍平 noi 能
端開一咍平 doi 𪒴
昌開一咍平 choi 㹗
章開三眞平 jin 真
徹開三眞平 tyin 𤣆
影開三A眞平 in 因
心開三眞平 sin 新
常開三眞平 zhin 辰
日開三眞平 rin 仁
船開三眞平 djin 神
清開三眞平 tsin 親
云開三眞平 hin 礥
書開三眞平 shin 申
幫三A眞平 bin 賓
來開三眞平 lin 㷠
羣開三B眞平 gyin 𥎊
知開三眞平 dyin 珍
澄開三眞平 dhyin 陳
精開三眞平 zin 津
昌開三眞平 chin 瞋
