並開一歌上 bax 爸
以開三蒸平 jing 蠅
船開三蒸平 zsjing 繩
書開三蒸平 sjing 升
日開三蒸平 njing 仍
見開三蒸平 king 兢
知開三蒸平 tring 徵
從開三蒸平 zing 繒
疑開三蒸平 nging 凝
曉開三蒸平 hing 興
昌開三蒸平 chjing 稱
羣開三蒸平 ging 殑
生開三蒸平 sring 㱡
溪開三蒸平 khing 硱
徹開三蒸平 thring 僜
崇開三蒸平 zring 磳
滂三蒸平 phing 砯
端開一登平 tong 登
來開一登平 long 楞
心開一登平 song 僧
幫一登平 pong 崩
精開一登平 cong 增
明一登平 mong 瞢
從開一登平 zong 層
並一登平 bong 朋
匣合一登平 ghuong 弘
見合一登平 kuong 肱
曉合一登平 huong 薨
泥開一登平 nong 能
定開一登平 dong 騰
匣開一登平 ghong 恆
見開一登平 kong 揯
透開一登平 thong 鼟
滂一登平 phong 漰
云三尤平 iu 尤
影三尤平 qiu 憂
來三尤平 liu 劉
清三尤平 chiu 秋
以三尤平 ju 猷
疑三尤平 ngiu 牛
精三尤平 ciu 遒
從三尤平 ziu 酋
心三尤平 siu 脩
徹三尤平 thriu 抽
溪三尤平 khiu 𠁫
昌三尤平 chju 犫
章三尤平 cju 周
常三尤平 zju 讎
日三尤平 nju 柔
書三尤平 sju 收
滂三尤平 phiu 䬌
見三尤平 kiu 鳩
幫三尤平 piu 不
生三尤平 sriu 𢯱
初三尤平 chriu 搊
莊三尤平 criu 鄒
崇三尤平 zriu 愁
曉三尤平 hiu 休
邪三尤平 zsiu 囚
澄三尤平 driu 儔
知三尤平 triu 輈
羣三尤平 giu 𧚍
並三尤平 biu 浮
明三尤平 miu 謀
匣開一侯平 ghu 侯
影開一侯平 qu 謳
泥開一侯平 nu 羺
來開一侯平 lu 樓
心開一侯平 su 涑
溪開一侯平 khu 彄
曉開一侯平 hu 齁
精開一侯平 cu 𣠏
透開一侯平 thu 偷
定開一侯平 du 頭
疑開一侯平 ngu 齵
見開一侯平 ku 鉤
端開一侯平 tu 兜
從開一侯平 zu 㔌
並一侯平 bu 裒
清開一侯平 chu 䜅
明一侯平 mu 呣
影三幽平 qy 幽
羣三幽平 gy 虯
幫三幽平 py 彪
來三幽平 ly 鏐
見三幽平 ky 樛
並三幽平 by 淲
精三幽平 cy 稵
生三幽平 sry 犙
疑三幽平 ngy 聱
曉三幽平 hy 飍
明三幽平 my 繆
清開三侵平 chim 侵
邪開三侵平 zsim 尋
來開三侵平 lim 林
徹開三侵平 thrim 琛
章開三侵平 cjim 斟
澄開三侵平 drim 沈
知開三侵平 trim 碪
常開三侵平 zjim 諶
日開三侵平 njim 任
書開三侵平 sjim 深
以開三侵平 jim 淫
心開三侵平 sim 心
影開三A侵平 qjim 愔
精開三侵平 cim 祲
從開三侵平 zim 𩷒
孃開三侵平 nrim 䛘
羣開三B侵平 gim 琴
溪開三B侵平 khim 欽
疑開三B侵平 ngim 吟
曉開三B侵平 him 歆
見開三B侵平 kim 金
影開三B侵平 qim 音
生開三侵平 srim 森
崇開三侵平 zrim 岑
莊開三侵平 crim 兂
初開三侵平 chrim 嵾
昌開三侵平 chjim 𧡪
定開一覃平 dom 覃
清開一覃平 chom 參
泥開一覃平 nom 南
影開一覃平 qom 諳
匣開一覃平 ghom 含
來開一覃平 lom 婪
從開一覃平 zom 蠶
精開一覃平 com 簪
透開一覃平 thom 探
端開一覃平 tom 耽
溪開一覃平 khom 龕
曉開一覃平 hom 㟏
心開一覃平 som 毿
見開一覃平 kom 弇
疑開一覃平 ngom 䜙
定開一談平 dam 談
見開一談平 kam 甘
端開一談平 tam 擔
心開一談平 sam 三
來開一談平 lam 藍
溪開一談平 kham 坩
透開一談平 tham 舑
從開一談平 zam 慙
匣開一談平 gham 酣
明一談平 mam 姏
精開一談平 cam 𩈻
曉開一談平 ham 蚶
以開三鹽平 jem 鹽
來開三鹽平 liem 廉
幫三B鹽平 piem 砭
心開三鹽平 siem 銛
清開三鹽平 chiem 籤
章開三鹽平 cjem 詹
常開三鹽平 zjem 棎
書開三鹽平 sjem 苫
昌開三鹽平 chjem 䪜
日開三鹽平 njem 𩓾
孃開三鹽平 nriem 黏
云開三鹽平 iem 炎
知開三鹽平 triem 霑
徹開三鹽平 thriem 覘
影開三B鹽平 qiem 淹
溪開三B鹽平 khiem 𢜩
疑開三B鹽平 ngiem 𪙊
精開三鹽平 ciem 尖
從開三鹽平 ziem 潛
羣開三B鹽平 giem 箝
影開三A鹽平 qjem 懕
邪開三鹽平 zsiem 燅
生開三鹽平 sriem 襳
澄開三鹽平 driem 㶣
羣開三A鹽平 gjem 鍼
透開四添平 them 添
端開四添平 tem 𩬑
定開四添平 dem 甜
來開四添平 lem 鬑
溪開四添平 khem 謙
見開四添平 kem 兼
匣開四添平 ghem 嫌
泥開四添平 nem 鮎
曉開四添平 hem 馦
匣開二咸平 ghrem 咸
見開二咸平 krem 緘
生開二咸平 srem 攕
影開二咸平 qrem 𤟟
疑開二咸平 ngrem 嵒
曉開二咸平 hrem 㰹
知開二咸平 trem 詀
孃開二咸平 nrem 諵
崇開二咸平 zrem 讒
溪開二咸平 khrem 鵮
匣開二銜平 ghram 銜
崇開二銜平 zram 巉
疑開二銜平 ngram 巖
初開二銜平 chram 攙
生開二銜平 sram 衫
見開二銜平 kram 監
並二銜平 bram 𨂝
溪開二銜平 khram 嵌
疑開三嚴平 ngiam 嚴
曉開三嚴平 hiam 𩏩
影開三嚴平 qiam 醃
溪開三嚴平 khiam 㪁
並三凡平 byam 凡
滂三凡平 phyam 䒦
端一東上 tungx 董
明一東上 mungx 蠓
溪一東上 khungx 孔
心一東上 sungx 㪌
透一東上 thungx 侗
精一東上 cungx 總
匣一東上 ghungx 澒
影一東上 qungx 蓊
泥一東上 nungx 𨑊
幫一東上 pungx 琫
來一東上 lungx 曨
曉一東上 hungx 嗊
定一東上 dungx 動
並一東上 bungx 菶
章三鍾上 cjyungx 腫
徹三鍾上 thryungx 寵
來三鍾上 lyungx 隴
影三鍾上 qyungx 擁
日三鍾上 njyungx 宂
澄三鍾上 dryungx 重
知三鍾上 tryungx 冢
並三鍾上 byungx 奉
滂三鍾上 phyungx 捧
以三鍾上 jyungx 勇
溪三鍾上 khyungx 恐
常三鍾上 zjyungx 尰
見三鍾上 kyungx 拱
心三鍾上 syungx 悚
曉三鍾上 hyungx 洶
幫三鍾上 pyungx 覂
端一冬上 tuungx 湩
明一冬上 muungx 𪁪
羣三鍾上 gyungx 䅃
昌三鍾上 chjyungx 𨿿
精三鍾上 cyungx 䙕
見二江上 krungx 講
並二江上 brungx 㭋
影二江上 qrungx 慃
明二江上 mrungx 𠈵
匣二江上 ghrungx 項
幫二江上 prungx 𦂌
曉二江上 hrungx 傋
章開三支上 cjex 紙
常開三支上 zjex 是
明三B支上 miex 靡
幫三B支上 piex 彼
並三B支上 biex 被
曉合三B支上 hyex 毀
影合三B支上 qyex 委
溪合三B支上 khyex 跪
見合三B支上 kyex 詭
心合三支上 syex 髓
來合三支上 lyex 絫
羣開三B支上 giex 技
影開三B支上 qiex 倚
見開三B支上 kiex 掎
溪開三B支上 khiex 綺
疑開三B支上 ngiex 螘
云合三支上 yex 蔿
精合三支上 cyex 觜
日合三支上 njyex 蘂
清開三支上 chiex 此
澄開三支上 driex 豸
心開三支上 siex 徙
以開三支上 jex 酏
來開三支上 liex 邐
生開三支上 sriex 躧
幫三A支上 pjex 𢔌
日開三支上 njex 爾
明三A支上 mjex 渳
並三A支上 bjex 婢
昌開三支上 chjex 侈
書開三支上 sjex 弛
精開三支上 ciex 紫
章合三支上 cjyex 捶
初合三支上 chryex 揣
邪合三支上 zsyex 𤢍
船開三支上 zsjex 舓
莊開三支上 criex 㧗
滂三B支上 phiex 㱟
滂三A支上 phjex 諀
以合三支上 jyex 䓈
從合三支上 zyex 惢
溪合三A支上 khjyex 跬
孃開三支上 nriex 狔
疑合三B支上 ngyex 硊
羣合三B支上 gyex 跪
徹開三支上 thriex 褫
知開三支上 triex 㨖
曉開三B支上 hiex 𪖥
溪開三A支上 khjex 企
常合三支上 zjyex 菙
見開三A支上 kjex 枳
章開三脂上 cjiix 旨
常開三脂上 zjiix 視
明三B脂上 miix 美
幫三B脂上 piix 鄙
邪開三脂上 zsiix 兕
見開三B脂上 kiix 几
精開三脂上 ciix 姊
幫三A脂上 pjiix 匕
見合三B脂上 kyix 軌
云合三脂上 yix 洧
書開三脂上 sjiix 矢
澄開三脂上 driix 雉
心開三脂上 siix 死
並三A脂上 bjiix 牝
來開三脂上 liix 履
書合三脂上 sjyix 水
來合三脂上 lyix 壘
羣合三A脂上 gjyix 揆
清合三脂上 chyix 趡
孃開三脂上 nriix 柅
見合三A脂上 kjyix 癸
並三B脂上 biix 否
從合三脂上 zyix 㠑
滂三B脂上 phiix 嚭
日合三脂上 njyix 蕊
以合三脂上 jyix 唯
影開三B脂上 qiix 㰻
精合三脂上 cyix 濢
知開三脂上 triix 黹
徹開三脂上 thriix 𡳭
曉合三A脂上 hjyix 䁤
羣合三B脂上 gyix 䣀
羣開三B脂上 giix 跽
溪合三B脂上 khyix 巋
章開三之上 cjix 止
常開三之上 zjix 市
知開三之上 trix 徵
曉開三之上 hix 喜
見開三之上 kix 紀
以開三之上 jix 以
邪開三之上 zsix 似
生開三之上 srix 史
日開三之上 njix 耳
來開三之上 lix 里
心開三之上 six 枲
書開三之上 sjix 始
澄開三之上 drix 歭
溪開三之上 khix 起
崇開三之上 zrix 士
俟開三之上 zsrix 俟
精開三之上 cix 子
云開三之上 ix 矣
疑開三之上 ngix 擬
昌開三之上 chjix 齒
徹開三之上 thrix 恥
初開三之上 chrix 㓼
莊開三之上 crix 滓
影開三之上 qix 譩
孃開三之上 nrix 伱
明三微上 myoix 尾
影開三微上 qioix 扆
溪開三微上 khioix 豈
見開三微上 kioix 蟣
滂三微上 phyoix 斐
幫三微上 pyoix 匪
云合三微上 yoix 韙
見合三微上 kyoix 鬼
曉合三微上 hyoix 虺
疑開三微上 ngioix 顗
曉開三微上 hioix 豨
影合三微上 qyoix 磈
並三微上 byoix 膹
疑開三魚上 ngiox 語
來開三魚上 liox 呂
澄開三魚上 driox 佇
以開三魚上 jox 與
章開三魚上 cjox 䰞
日開三魚上 njox 汝
書開三魚上 sjox 暑
昌開三魚上 chjox 杵
知開三魚上 triox 貯
心開三魚上 siox 諝
徹開三魚上 thriox 楮
孃開三魚上 nriox 女
曉開三魚上 hiox 許
羣開三魚上 giox 巨
生開三魚上 sriox 所
初開三魚上 chriox 楚
莊開三魚上 criox 阻
崇開三魚上 zriox 齟
從開三魚上 ziox 咀
影開三魚上 qiox 𢮁
見開三魚上 kiox 舉
邪開三魚上 zsiox 敘
溪開三魚上 khiox 去
船開三魚上 zsjox 紓
常開三魚上 zjox 野
清開三魚上 chiox 𤿚
精開三魚上 ciox 苴
疑三虞上 ngyox 麌
云三虞上 yox 羽
從三虞上 zyox 聚
幫三虞上 pyox 甫
明三虞上 myox 武
並三虞上 byox 父
滂三虞上 phyox 撫
澄三虞上 dryox 柱
曉三虞上 hyox 詡
常三虞上 zjyox 豎
以三虞上 jyox 庾
章三虞上 cjyox 主
影三虞上 qyox 傴
溪三虞上 khyox 齲
知三虞上 tryox 拄
日三虞上 njyox 乳
羣三虞上 gyox 窶
生三虞上 sryox 數
見三虞上 kyox 矩
清三虞上 chyox 取
來三虞上 lyox 縷
心三虞上 syox 𦄼
崇三虞上 zryox 䝒
明一模上 mox 姥
透一模上 thox 土
定一模上 dox 杜
來一模上 lox 魯
清一模上 chox 蔖
端一模上 tox 覩
見一模上 kox 古
疑一模上 ngox 五
並一模上 box 簿
從一模上 zox 粗
精一模上 cox 祖
曉一模上 hox 虎
影一模上 qox 隖
溪一模上 khox 苦
泥一模上 nox 怒
匣一模上 ghox 戶
滂一模上 phox 普
幫一模上 pox 補
從開四齊上 zex 薺
來開四齊上 lex 禮
透開四齊上 thex 體
滂四齊上 phex 䫌
精開四齊上 cex 濟
端開四齊上 tex 邸
定開四齊上 dex 弟
泥開四齊上 nex 禰
心開四齊上 sex 洗
清開四齊上 chex 泚
溪開四齊上 khex 啓
匣開四齊上 ghex 徯
明四齊上 mex 米
並四齊上 bex 陛
影開四齊上 qex 𠯋
疑開四齊上 ngex 堄
幫四齊上 pex 㪏
匣開二佳上 ghrex 蟹
明二佳上 mrex 買
溪開二佳上 khrex 䒓
澄開二佳上 drex 廌
孃開二佳上 nrex 嬭
並二佳上 brex 罷
影開二佳上 qrex 矮
幫二佳上 prex 擺
見開二佳上 krex 解
生開二佳上 srex 灑
見合二佳上 kruex 𠁥
澄合二佳上 druex 㧳
匣合二佳上 ghruex 夥
曉合二佳上 hruex 扮
羣開二佳上 grex 箉
匣開二皆上 ghraix 駭
溪開二皆上 khraix 楷
疑開二皆上 ngraix 騃
影開二皆上 qraix 挨
曉合一灰上 huaix 賄
影合一灰上 quaix 猥
來合一灰上 luaix 磥
定合一灰上 duaix 錞
從合一灰上 zuaix 辠
明一灰上 muaix 浼
透合一灰上 thuaix 骽
匣合一灰上 ghuaix 瘣
溪合一灰上 khuaix 䫥
端合一灰上 tuaix 𦞙
泥合一灰上 nuaix 餧
疑合一灰上 nguaix 頠
清合一灰上 chuaix 皠
並一灰上 buaix 琲
精合一灰上 cuaix 嶊
曉開一咍上 haix 海
溪開一咍上 khaix 愷
精開一咍上 caix 宰
定開一咍上 daix 駘
泥開一咍上 naix 乃
見開一咍上 kaix 改
匣開一咍上 ghaix 亥
滂一灰上 phuaix 啡
清開一咍上 chaix 采
昌開一咍上 chj'aix 茝
端開一咍上 taix 等
從開一咍上 zaix 在
影開一咍上 qaix 欸
以開一咍上 j'aix 佁
透開一咍上 thaix 㘆
日開一咍上 nj'aix 疓
來開一咍上 laix 𨦂
章開三眞上 cjinx 軫
徹開三眞上 thrinx 辴
常開三眞上 zjinx 腎
日開三眞上 njinx 忍
書開三眞上 sjinx 矤
來開三眞上 linx 嶙
澄開三眞上 drinx 紖
見開三A眞上 kjinx 緊
從開三眞上 zinx 盡
精開三眞上 cinx 㯸
並三A眞上 bjinx 牝
疑開三B眞上 nginx 釿
清開三眞上 chinx 笉
羣合三B眞上 gynx 窘
以開三眞上 jinx 引
明三B眞上 minx 愍
明三A眞上 mjinx 泯
云合三眞上 ynx 殞
章合三眞上 cjynx 準
以合三眞上 jynx 尹
心合三眞上 synx 筍
日合三眞上 njynx 蝡
昌合三眞上 chjynx 蠢
船合三眞上 zsjynx 盾
徹合三眞上 thrynx 偆
來合三眞上 lynx 耣
溪合三B眞上 khynx 𦃢
溪開三A眞上 khjinx 螼
書合三眞上 sjynx 賰
曉開三B眞上 hinx 脪
崇開三眞上 zrinx 濜
知開三眞上 trinx 屒
明三文上 myonx 吻
幫三文上 pyonx 粉
並三文上 byonx 憤
滂三文上 phyonx 忿
影合三文上 qyonx 惲
疑合三文上 ngyonx 齳
云合三文上 yonx 抎
溪合三文上 khyonx 𧼐
影開三欣上 qionx 隱
見開三欣上 kionx 謹
莊開三欣上 crionx 𧤛
溪開三欣上 khionx 赾
羣開三欣上 gionx 近
初開三欣上 chrionx 齔
疑開三欣上 ngionx 听
曉開三欣上 hionx 䘆
疑合三元上 ngyanx 阮
云合三元上 yanx 遠
影開三元上 qianx 偃
見開三元上 kianx 湕
羣開三元上 gianx 寋
溪開三元上 khianx 𧥛
疑開三元上 ngianx 𧥜
曉開三元上 hianx 幰
明三元上 myanx 晚
幫三元上 pyanx 反
羣合三元上 gyanx 𧯦
影合三元上 qyanx 婉
溪合三元上 khyanx 䅚
曉合三元上 hyanx 暅
並三元上 byanx 飯
匣合一魂上 ghuonx 混
滂一魂上 phuonx 翉
清合一魂上 chuonx 忖
幫一魂上 puonx 本
心合一魂上 suonx 損
精合一魂上 cuonx 𠟃
影合一魂上 quonx 穩
定合一魂上 duonx 囤
從合一魂上 zuonx 鱒
見合一魂上 kuonx 𩩌
透合一魂上 thuonx 畽
溪合一魂上 khuonx 閫
來合一魂上 luonx 㤻
並一魂上 buonx 獖
明一魂上 muonx 懣
泥合一魂上 nuonx 㶧
曉合一魂上 huonx 𦃕
匣開一痕上 ghonx 很
溪開一痕上 khonx 墾
見開一痕上 konx 䫀
匣開一寒上 ghanx 旱
端開一寒上 tanx 亶
透開一寒上 thanx 坦
心開一寒上 sanx 散
定開一寒上 danx 但
從開一寒上 zanx 瓚
見開一寒上 kanx 笴
來開一寒上 lanx 嬾
溪開一寒上 khanx 侃
曉開一寒上 hanx 䍐
精開一寒上 canx 䰖
匣合一寒上 ghuanx 緩
端合一寒上 tuanx 短
影合一寒上 quanx 椀
透合一寒上 thuanx 疃
心合一寒上 suanx 算
見合一寒上 kuanx 管
來合一寒上 luanx 卵
溪合一寒上 khuanx 款
泥合一寒上 nuanx 煗
精合一寒上 cuanx 纂
並一寒上 buanx 伴
明一寒上 muanx 滿
幫一寒上 puanx 粄
邪合一寒上 zsuanx 鄹
定合一寒上 duanx 斷
泥開一寒上 nanx 攤
滂一寒上 phuanx 坢
生開二刪上 sranx 潸
影合二刪上 qruanx 綰
幫二刪上 pranx 版
莊開二刪上 cranx 䩆
孃開二刪上 nranx 赧
匣開二刪上 ghranx 僩
匣合二刪上 ghruanx 睆
並二刪上 branx 阪
明二刪上 mranx 矕
崇開二刪上 zranx 𪘪
疑開二刪上 ngranx 𪗙
初開二刪上 chranx 㹽
滂二刪上 phranx 眅
崇合二刪上 zruanx 撰
生開二山上 srenx 產
匣開二山上 ghrenx 限
明二山上 mrenx 𥇅
見開二山上 krenx 簡
初開二山上 chrenx 剗
崇開二山上 zrenx 棧
疑開二山上 ngrenx 眼
莊開二山上 crenx 醆
初合二山上 chruenx 㦃
溪開二山上 khrenx 齦
心開四先上 senx 銑
透開四先上 thenx 腆
端開四先上 tenx 典
影開四先上 qenx 蝘
定開四先上 denx 殄
見開四先上 kenx 繭
匣開四先上 ghenx 峴
曉開四先上 henx 顯
明四先上 menx 㨠
泥開四先上 nenx 撚
幫四先上 penx 編
匣合四先上 ghuenx 泫
見合四先上 kuenx 𡿨
並四先上 benx 辮
溪合四先上 khuenx 犬
溪開四先上 khenx 𥧬
疑開四先上 ngenx 齞
心開三仙上 sienx 獮
以開三仙上 jenx 演
從開三仙上 zienx 踐
知開三仙上 trienx 展
章開三仙上 cjenx 𦗢
孃開三仙上 nrienx 趁
清開三仙上 chienx 淺
昌開三仙上 chjenx 闡
溪開三A仙上 khjenx 遣
見開三B仙上 kienx 蹇
常開三仙上 zjenx 善
精開三仙上 cienx 翦
日開三仙上 njenx 蹨
邪開三仙上 zsienx 𦆀
來開三仙上 lienx 輦
疑開三B仙上 ngienx 齴
羣開三B仙上 gienx 件
並三B仙上 bienx 辯
明三A仙上 mjenx 緬
幫三A仙上 pjenx 褊
精合三仙上 cyenx 臇
從合三仙上 zyenx 雋
幫三B仙上 pienx 辡
以合三仙上 jyenx 兗
來合三仙上 lyenx 臠
知合三仙上 tryenx 轉
見合三B仙上 kyenx 卷
羣合三B仙上 gyenx 圈
日合三仙上 njyenx 輭
昌合三仙上 chjyenx 舛
常合三仙上 zjyenx 膞
澄合三仙上 dryenx 篆
章合三仙上 cjyenx 剸
心合三仙上 syenx 選
崇合三仙上 zryenx 撰
羣合三A仙上 gjyenx 蜎
曉合三A仙上 hjyenx 蠉
並三A仙上 bjenx 楩
明三B仙上 mienx 免
徹開三仙上 thrienx 搌
滂三B仙上 phienx 鴘
書開三仙上 sjenx 㒄
影開三B仙上 qienx 㫃
澄開三仙上 drienx 邅
崇開三仙上 zrienx 棧
心開四蕭上 seux 篠
見開四蕭上 keux 皎
端開四蕭上 teux 鳥
來開四蕭上 leux 了
透開四蕭上 theux 朓
曉開四蕭上 heux 䥵
影開四蕭上 qeux 杳
泥開四蕭上 neux 嬲
匣開四蕭上 gheux 皛
定開四蕭上 deux 窕
溪開四蕭上 kheux 磽
精開四蕭上 ceux 湫
心開三宵上 sieux 小
澄開三宵上 drieux 肈
章開三宵上 cjeux 沼
影開三B宵上 qieux 夭
徹開三宵上 thrieux 巐
書開三宵上 sjeux 少
日開三宵上 njeux 擾
並三A宵上 bjeux 摽
昌開三宵上 chjeux 𪍑
滂三A宵上 phjeux 縹
明三A宵上 mjeux 眇
常開三宵上 zjeux 紹
見開三B宵上 kieux 矯
幫三B宵上 pieux 表
幫三A宵上 pjeux 褾
並三B宵上 bieux 藨
以開三宵上 jeux 鷕
清開三宵上 chieux 悄
精開三宵上 cieux 剿
羣開三B宵上 gieux 𨲭
來開三宵上 lieux 繚
滂三B宵上 phieux 麃
影開三A宵上 qjeux 闄
溪開二肴上 khraux 巧
匣開二肴上 ghraux 澩
幫二肴上 praux 飽
孃開二肴上 nraux 㺒
明二肴上 mraux 卯
見開二肴上 kraux 絞
莊開二肴上 craux 爪
影開二肴上 qraux 拗
並二肴上 braux 鮑
疑開二肴上 ngraux 齩
崇開二肴上 zraux 䰫
初開二肴上 chraux 煼
知開二肴上 traux 䝤
生開二肴上 sraux 㪢
匣開一豪上 ghaux 晧
並一豪上 baux 抱
來開一豪上 laux 老
透開一豪上 thaux 討
定開一豪上 daux 道
泥開一豪上 naux 堖
心開一豪上 saux 㛮
端開一豪上 taux 倒
清開一豪上 chaux 草
精開一豪上 caux 早
從開一豪上 zaux 皁
見開一豪上 kaux 暠
曉開一豪上 haux 好
明一豪上 maux 蓩
幫一豪上 paux 寶
影開一豪上 qaux 襖
溪開一豪上 khaux 考
疑開一豪上 ngaux 𦽀
見開一歌上 kax 哿
清開一歌上 chax 瑳
端開一歌上 tax 嚲
心開一歌上 sax 縒
定開一歌上 dax 爹
疑開一歌上 ngax 我
透開一歌上 thax 袉
來開一歌上 lax 㰁
泥開一歌上 nax 橠
匣開一歌上 ghax 荷
曉開一歌上 hax 㰤
溪開一歌上 khax 可
影開一歌上 qax 𨵌
精開一歌上 cax 左
見合一歌上 kuax 果
端合一歌上 tuax 埵
心合一歌上 suax 鎖
定合一歌上 duax 墮
透合一歌上 thuax 妥
明一歌上 muax 麼
從合一歌上 zuax 坐
疑合一歌上 nguax 㛂
來合一歌上 luax 裸
影合一歌上 quax 婐
泥合一歌上 nuax 㛂
幫一歌上 puax 跛
滂一歌上 phuax 叵
匣合一歌上 ghuax 禍
曉合一歌上 huax 火
溪合一歌上 khuax 顆
並一歌上 buax 爸
清合一歌上 chuax 脞
明二麻上 mrax 馬
章開三麻上 cjax 者
以開三麻上 jax 野
疑開二麻上 ngrax 雅
見開二麻上 krax 檟
生開二麻上 srax 灑
影開二麻上 qrax 啞
邪開三麻上 zsiax 灺
匣開二麻上 ghrax 下
心開三麻上 siax 寫
莊合二麻上 cruax 𡎬
明三麻上 miax 乜
清開三麻上 chiax 且
曉開二麻上 hrax 㗿
常開三麻上 zjax 社
溪開二麻上 khrax 跒
並二麻上 brax 跁
書開三麻上 sjax 捨
精開三麻上 ciax 姐
幫二麻上 prax 把
匣合二麻上 ghruax 踝
見合二麻上 kruax 寡
疑合二麻上 ngruax 瓦
日開三麻上 njax 若
莊開二麻上 crax 鮓
知開二麻上 trax 觰
崇開二麻上 zrax 槎
昌開三麻上 chjax 奲
孃開二麻上 nrax 䋈
溪合二麻上 khruax 髁
初合二麻上 chruax 䂳
徹合二麻上 thruax 䊬
生合二麻上 sruax 葰
徹開二麻上 thrax 奼
來開二麻上 lrax 藞
以開三陽上 jangx 養
邪開三陽上 zsiangx 像
精開三陽上 ciangx 㢡
來開三陽上 liangx 㒳
影開三陽上 qiangx 鞅
羣開三陽上 giangx 勥
疑開三陽上 ngiangx 仰
初開三陽上 chriangx 磢
心開三陽上 siangx 想
章開三陽上 cjangx 掌
生開三陽上 sriangx 𤕤
曉開三陽上 hiangx 響
昌開三陽上 chjangx 敞
見開三陽上 kiangx 繈
澄開三陽上 driangx 丈
徹開三陽上 thriangx 昶
見合三陽上 kyangx 獷
日開三陽上 njangx 壤
書開三陽上 sjangx 賞
滂三陽上 phyangx 髣
明三陽上 myangx 网
幫三陽上 pyangx 昉
影合三陽上 qyangx 枉
云合三陽上 yangx 往
曉合三陽上 hyangx 怳
清開三陽上 chiangx 搶
知開三陽上 triangx 長
常開三陽上 zjangx 上
羣合三陽上 gyangx 俇
並三陽上 byangx 𩦠
定開一唐上 dangx 蕩
心開一唐上 sangx 顙
見合一唐上 kuangx 廣
幫一唐上 pangx 榜
精開一唐上 cangx 駔
泥開一唐上 nangx 曩
匣開一唐上 ghangx 沆
透開一唐上 thangx 曭
明一唐上 mangx 莽
端開一唐上 tangx 黨
來開一唐上 langx 朗
影開一唐上 qangx 坱
溪開一唐上 khangx 慷
影合一唐上 quangx 㳹
匣合一唐上 ghuangx 晃
滂一唐上 phangx 髈
曉合一唐上 huangx 慌
見開一唐上 kangx 䴚
疑開一唐上 ngangx 䭹
從開一唐上 zangx 奘
清開一唐上 changx 蒼
曉開一唐上 hangx 汻
溪合一唐上 khuangx 懬
見開二庚上 krangx 梗
幫三庚上 piengx 丙
見開三庚上 kiengx 警
影開三庚上 qiengx 影
生開三庚上 sriengx 省
云合三庚上 yengx 永
曉合三庚上 hyengx 𦬺
明三庚上 miengx 皿
見合三庚上 kyengx 憬
匣開二庚上 ghrangx 杏
明二庚上 mrangx 猛
見合二庚上 kruangx 礦
幫二庚上 prangx 浜
知開二庚上 trangx 盯
澄開二庚上 drangx 瑒
影合二庚上 qruangx 䁝
來開二庚上 lrangx 冷
匣合二庚上 ghruangx 卝
並二庚上 brangx 鮩
溪合二庚上 khruangx 𥉁
孃開二庚上 nrangx 檸
見開二耕上 krengx 耿
明二耕上 mrengx 䁅
匣開二耕上 ghrengx 幸
並二耕上 brengx 𠊧
滂二耕上 phrengx 皏
從開三清上 ziengx 靜
章開三清上 cjengx 整
徹開三清上 thriengx 逞
以開三清上 jengx 郢
羣開三A清上 gjengx 痙
以合三清上 jyengx 潁
來開三清上 liengx 領
見開三A清上 kjengx 頸
幫三A清上 pjengx 餅
溪合三A清上 khjyengx 頃
精開三清上 ciengx 井
影開三A清上 qjengx 廮
清開三清上 chiengx 請
心開三清上 siengx 省
明三A清上 mjengx 眳
澄開三清上 driengx 徎
匣合四青上 ghuengx 迥
見合四青上 kuengx 熲
明四青上 mengx 茗
端開四青上 tengx 頂
定開四青上 dengx 挺
透開四青上 thengx 珽
從開四青上 zengx 汫
影合四青上 quengx 濙
溪開四青上 khengx 謦
泥開四青上 nengx 𩕳
匣開四青上 ghengx 婞
心開四青上 sengx 醒
幫四青上 pengx 鞞
溪合四青上 khuengx 褧
見開四青上 kengx 剄
滂四青上 phengx 頩
影開四青上 qengx 巊
來開四青上 lengx 笭
並四青上 bengx 竝
曉合四青上 huengx 詗
疑開四青上 ngengx 䀴
章開三蒸上 cjingx 拯
徹開三蒸上 thringx 庱
羣開三蒸上 gingx 殑
生開三蒸上 sringx 㱡
端開一登上 tongx 等
滂一登上 phongx 倗
溪開一登上 khongx 肯
泥開一登上 nongx 能
云三尤上 iux 有
來三尤上 liux 柳
孃三尤上 nriux 狃
徹三尤上 thriux 丑
知三尤上 triux 肘
曉三尤上 hiux 朽
見三尤上 kiux 久
書三尤上 sjux 首
昌三尤上 chjux 醜
從三尤上 ziux 湫
並三尤上 biux 婦
幫三尤上 piux 缶
溪三尤上 khiux 糗
日三尤上 njux 蹂
羣三尤上 giux 舅
澄三尤上 driux 紂
以三尤上 jux 酉
常三尤上 zjux 受
心三尤上 siux 滫
影三尤上 qiux 䬀
精三尤上 ciux 酒
生三尤上 sriux 溲
章三尤上 cjux 帚
滂三尤上 phiux 㤱
莊三尤上 criux 掫
崇三尤上 zriux 𥣙
初三尤上 chriux 𩋄
匣開一侯上 ghux 厚
明一侯上 mux 母
並一侯上 bux 部
端開一侯上 tux 斗
透開一侯上 thux 𪌘
