並開一歌上 bax 爸
日合三脂平 njyi 蕤
生合三脂平 sryi 衰
以合三脂平 jyi 惟
來合三脂平 lyi 㶟
心合三脂平 syi 綏
羣合三B脂平 gyi 逵
明三B脂平 mii 眉
幫三B脂平 pii 悲
章合三脂平 cjyi 錐
常合三脂平 zjyi 誰
云合三脂平 yi 帷
並三B脂平 bii 邳
滂三B脂平 phii 丕
曉合三A脂平 hjyi 倠
澄合三脂平 dryi 鎚
昌合三脂平 chjyi 推
知開三脂平 trii 胝
滂三A脂平 phjii 紕
精合三脂平 cyi 嶉
溪合三B脂平 khyi 巋
疑開三B脂平 ngii 狋
曉開三A脂平 hjii 咦
章開三之平 cji 之
以開三之平 ji 飴
常開三之平 zji 時
疑開三之平 ngi 疑
心開三之平 si 思
初開三之平 chri 輜
羣開三之平 gi 其
書開三之平 sji 詩
日開三之平 nji 而
溪開三之平 khi 欺
見開三之平 ki 姬
邪開三之平 zsi 詞
來開三之平 li 釐
莊開三之平 cri 菑
曉開三之平 hi 僖
影開三之平 qi 醫
徹開三之平 thri 癡
澄開三之平 dri 治
昌開三之平 chji 蚩
從開三之平 zi 慈
精開三之平 ci 兹
崇開三之平 zri 茬
俟開三之平 zsri 漦
明三微平 myoi 微
曉合三微平 hyoi 揮
云合三微平 yoi 幃
滂三微平 phyoi 霏
幫三微平 pyoi 猆
並三微平 byoi 肥
影合三微平 qyoi 威
羣開三微平 gioi 祈
見開三微平 kioi 機
曉開三微平 hioi 希
影開三微平 qioi 依
疑開三微平 ngioi 沂
疑合三微平 ngyoi 巍
見合三微平 kyoi 歸
溪合三微平 khyoi 蘬
疑開三魚平 ngio 魚
初開三魚平 chrio 初
書開三魚平 sjo 書
見開三魚平 kio 居
羣開三魚平 gio 渠
以開三魚平 jo 余
心開三魚平 sio 胥
清開三魚平 chio 疽
崇開三魚平 zrio 鉏
徹開三魚平 thrio 攄
生開三魚平 srio 疏
曉開三魚平 hio 虛
邪開三魚平 zsio 徐
影開三魚平 qio 於
知開三魚平 trio 豬
來開三魚平 lio 臚
章開三魚平 cjo 諸
澄開三魚平 drio 除
日開三魚平 njo 如
精開三魚平 cio 且
溪開三魚平 khio 虛
莊開三魚平 crio 菹
常開三魚平 zjo 蜍
孃開三魚平 nrio 袽
疑三虞平 ngyo 虞
初三虞平 chryo 芻
明三虞平 myo 無
云三虞平 yo 于
曉三虞平 hyo 訏
羣三虞平 gyo 衢
日三虞平 njyo 儒
心三虞平 syo 須
知三虞平 tryo 株
徹三虞平 thryo 貙
常三虞平 zjyo 殊
以三虞平 jyo 逾
溪三虞平 khyo 區
章三虞平 cjyo 朱
清三虞平 chyo 趨
來三虞平 lyo 慺
並三虞平 byo 扶
崇三虞平 zryo 䅳
莊三虞平 cryo 㑳
滂三虞平 phyo 敷
精三虞平 cyo 諏
幫三虞平 pyo 跗
影三虞平 qyo 紆
書三虞平 sjyo 輸
昌三虞平 chjyo 樞
澄三虞平 dryo 廚
見三虞平 kyo 拘
生三虞平 sryo 毹
明一模平 mo 模
並一模平 bo 酺
匣一模平 gho 胡
見一模平 ko 孤
定一模平 do 徒
泥一模平 no 奴
曉一模平 ho 呼
疑一模平 ngo 吾
精一模平 co 租
來一模平 lo 盧
心一模平 so 蘇
從一模平 zo 徂
影一模平 qo 烏
幫一模平 po 逋
溪一模平 kho 枯
清一模平 cho 麤
透一模平 tho 㻌
端一模平 to 都
滂一模平 pho 𥠵
從開四齊平 ze 齊
來開四齊平 le 黎
清開四齊平 che 妻
端開四齊平 te 低
定開四齊平 de 嗁
幫四齊平 pe 豍
見開四齊平 ke 雞
匣開四齊平 ghe 奚
影開四齊平 qe 鷖
疑開四齊平 nge 倪
曉開四齊平 he 醯
心開四齊平 se 西
透開四齊平 the 梯
並四齊平 be 鼙
滂四齊平 phe 磇
精開四齊平 ce 齎
明四齊平 me 迷
泥開四齊平 ne 泥
溪開四齊平 khe 谿
見合四齊平 kue 圭
溪合四齊平 khue 睽
匣合四齊平 ghue 攜
日開四齊平 nj'e 臡
常開四齊平 zj'e 栘
影合四齊平 que 烓
曉合四齊平 hue 睳
見開二佳平 kre 佳
匣開二佳平 ghre 㥟
並二佳平 bre 牌
見合二佳平 krue 媧
影合二佳平 qrue 蛙
溪合二佳平 khrue 咼
崇開二佳平 zre 柴
初開二佳平 chre 釵
曉合二佳平 hrue 竵
孃開二佳平 nre 䍲
疑開二佳平 ngre 崖
影開二佳平 qre 娃
生開二佳平 sre 崽
曉開二佳平 hre 㗨
徹開二佳平 thre 扠
明二佳平 mre 䁲
匣合二佳平 ghrue 鼃
見開二皆平 krai 皆
影開二皆平 qrai 𢰇
匣開二皆平 ghrai 諧
並二皆平 brai 排
見合二皆平 kruai 乖
匣合二皆平 ghruai 懷
溪合二皆平 khruai 匯
崇開二皆平 zrai 豺
初開二皆平 chrai 差
曉合二皆平 hruai 虺
澄合二皆平 druai 尵
明二皆平 mrai 埋
莊開二皆平 crai 齋
影合二皆平 qruai 崴
知開二皆平 trai 𪘨
來開二皆平 lrai 唻
溪開二皆平 khrai 揩
孃開二皆平 nrai 搱
生開二皆平 srai 崽
疑開二皆平 ngrai 𩂢
徹開二皆平 thrai 搋
曉開二皆平 hrai 俙
來合二皆平 lruai 䐯
崇合二皆平 zruai 膗
曉合一灰平 huai 灰
溪合一灰平 khuai 恢
影合一灰平 quai 隈
匣合一灰平 ghuai 回
明一灰平 muai 枚
見合一灰平 kuai 傀
來合一灰平 luai 雷
定合一灰平 duai 穨
清合一灰平 chuai 崔
端合一灰平 tuai 磓
心合一灰平 suai 𤗯
從合一灰平 zuai 摧
並一灰平 buai 裴
幫一灰平 puai 桮
滂一灰平 phuai 肧
疑合一灰平 nguai 鮠
透合一灰平 thuai 𨌴
泥合一灰平 nuai 𢆃
精合一灰平 cuai 嗺
曉開一咍平 hai 咍
溪開一咍平 khai 開
影開一咍平 qai 哀
定開一咍平 dai 臺
見開一咍平 kai 該
從開一咍平 zai 裁
來開一咍平 lai 來
精開一咍平 cai 烖
清開一咍平 chai 猜
透開一咍平 thai 胎
匣開一咍平 ghai 孩
心開一咍平 sai 鰓
疑開一咍平 ngai 皚
泥開一咍平 nai 能
端開一咍平 tai 𪒴
昌開一咍平 chj'ai 㹗
章開三眞平 cjin 真
徹開三眞平 thrin 𤣆
影開三A眞平 qjin 因
心開三眞平 sin 新
常開三眞平 zjin 辰
日開三眞平 njin 仁
船開三眞平 zsjin 神
清開三眞平 chin 親
云開三眞平 in 礥
書開三眞平 sjin 申
幫三A眞平 pjin 賓
來開三眞平 lin 㷠
羣開三B眞平 gin 𥎊
知開三眞平 trin 珍
澄開三眞平 drin 陳
精開三眞平 cin 津
昌開三眞平 chjin 瞋
從開三眞平 zin 秦
以開三眞平 jin 寅
孃開三眞平 nrin 紉
滂三A眞平 phjin 繽
並三A眞平 bjin 頻
疑開三B眞平 ngin 銀
見開三B眞平 kin 巾
見合三B眞平 kyn 麏
云合三眞平 yn 筠
溪合三B眞平 khyn 囷
明三B眞平 min 珉
並三B眞平 bin 貧
影開三B眞平 qin 𪔗
影合三B眞平 qyn 贇
幫三B眞平 pin 彬
明三A眞平 mjin 民
章合三眞平 cjyn 諄
徹合三眞平 thryn 椿
澄合三眞平 dryn 䣩
心合三眞平 syn 荀
常合三眞平 zjyn 純
日合三眞平 njyn 犉
船合三眞平 zsjyn 脣
來合三眞平 lyn 淪
知合三眞平 tryn 屯
清合三眞平 chyn 逡
精合三眞平 cyn 遵
昌合三眞平 chjyn 春
從合三眞平 zyn 鷷
以合三眞平 jyn 勻
邪合三眞平 zsyn 旬
見合三A眞平 kjyn 均
羣開三A眞平 gjin 𧼒
滂三B眞平 phin 砏
莊開三臻平 crin 臻
生開三臻平 srin 莘
崇開三臻平 zrin 𦿒
明三文平 myon 文
云合三文平 yon 雲
影合三文平 qyon 熅
並三文平 byon 汾
幫三文平 pyon 分
羣合三文平 gyon 羣
曉合三文平 hyon 薰
見合三文平 kyon 君
滂三文平 phyon 芬
曉開三欣平 hion 欣
影開三欣平 qion 殷
羣開三欣平 gion 勤
見開三欣平 kion 斤
疑開三欣平 ngion 䖐
疑合三元平 ngyan 元
云合三元平 yan 袁
並三元平 byan 煩
滂三元平 phyan 飜
曉合三元平 hyan 暄
影合三元平 qyan 鴛
疑開三元平 ngian 言
溪開三元平 khian 攑
曉開三元平 hian 軒
見開三元平 kian 𢳚
影開三元平 qian 蔫
幫三元平 pyan 蕃
羣開三元平 gian 𥴤
明三元平 myan 樠
匣合一魂平 ghuon 䰟
見合一魂平 kuon 昆
影合一魂平 quon 𥁕
明一魂平 muon 門
心合一魂平 suon 孫
精合一魂平 cuon 尊
從合一魂平 zuon 存
端合一魂平 tuon 敦
透合一魂平 thuon 暾
定合一魂平 duon 屯
清合一魂平 chuon 村
疑合一魂平 nguon 㑮
並一魂平 buon 盆
幫一魂平 puon 奔
來合一魂平 luon 論
溪合一魂平 khuon 坤
曉合一魂平 huon 昏
滂一魂平 phuon 濆
泥合一魂平 nuon 黁
匣開一痕平 ghon 痕
見開一痕平 kon 根
影開一痕平 qon 恩
透開一痕平 thon 吞
疑開一痕平 ngon 垠
匣開一寒平 ghan 寒
疑開一寒平 ngan 豻
端開一寒平 tan 單
影開一寒平 qan 安
泥開一寒平 nan 難
清開一寒平 chan 餐
透開一寒平 than 灘
心開一寒平 san 𦙱
定開一寒平 dan 壇
從開一寒平 zan 殘
見開一寒平 kan 干
來開一寒平 lan 蘭
溪開一寒平 khan 看
曉開一寒平 han 頇
泥合一寒平 nuan 濡
匣合一寒平 ghuan 桓
疑合一寒平 nguan 岏
端合一寒平 tuan 端
影合一寒平 quan 剜
透合一寒平 thuan 湍
心合一寒平 suan 酸
定合一寒平 duan 團
從合一寒平 zuan 欑
